Purpose,Mode,Origin,Destination,Time Period,Activity Map,Arrival Map
Discretionary,TAXI,MANHATTAN,WHR,AM Peak,31,64
Discretionary,TAXI,MANHATTAN,WHR,Other,30,64
Discretionary,TAXI,NON-NYC,MANHATTAN,AM Peak,30,45
Discretionary,TAXI,NON-NYC,MANHATTAN,Other,30,45
Discretionary,TAXI,NON-NYC,NON-NYC,AM Peak,31,64
Discretionary,TAXI,NON-NYC,NON-NYC,Other,30,64
Discretionary,TAXI,NON-NYC,STATEN ISLAND,AM Peak,31,64
Discretionary,TAXI,NON-NYC,STATEN ISLAND,Other,30,64
Discretionary,TAXI,NON-NYC,WHR,AM Peak,31,64
Discretionary,TAXI,NON-NYC,WHR,Other,30,64
Discretionary,TAXI,STATEN ISLAND,MANHATTAN,AM Peak,30,45
Discretionary,TAXI,STATEN ISLAND,MANHATTAN,Other,30,45
Discretionary,TAXI,STATEN ISLAND,NON-NYC,AM Peak,31,64
Discretionary,TAXI,STATEN ISLAND,NON-NYC,Other,30,64
Discretionary,TAXI,STATEN ISLAND,STATEN ISLAND,AM Peak,31,64
Discretionary,TAXI,STATEN ISLAND,STATEN ISLAND,Other,30,64
Discretionary,TAXI,STATEN ISLAND,WHR,AM Peak,31,64
Discretionary,TAXI,STATEN ISLAND,WHR,Other,30,64
Discretionary,TAXI,WHR,MANHATTAN,AM Peak,30,45
Discretionary,TAXI,WHR,MANHATTAN,Other,30,45
Discretionary,TAXI,WHR,NON-NYC,AM Peak,31,64
Discretionary,TAXI,WHR,NON-NYC,Other,30,64
Discretionary,TAXI,WHR,STATEN ISLAND,AM Peak,31,64
Discretionary,TAXI,WHR,STATEN ISLAND,Other,30,64
Discretionary,TAXI,WHR,WHR,AM Peak,31,64
Discretionary,TAXI,WHR,WHR,Other,30,64
Discretionary,WC,MANHATTAN,MANHATTAN,AM Peak,30,103
Discretionary,WC,MANHATTAN,MANHATTAN,Other,30,103
Discretionary,WC,MANHATTAN,NON-NYC,AM Peak,31,104
Discretionary,WC,MANHATTAN,NON-NYC,Other,30,104
Discretionary,WC,MANHATTAN,STATEN ISLAND,AM Peak,31,104
Discretionary,WC,MANHATTAN,STATEN ISLAND,Other,30,104
Discretionary,WC,MANHATTAN,WHR,AM Peak,31,104
Discretionary,WC,MANHATTAN,WHR,Other,30,104
Discretionary,WC,NON-NYC,MANHATTAN,AM Peak,30,103
Discretionary,WC,NON-NYC,MANHATTAN,Other,30,103
Discretionary,WC,NON-NYC,NON-NYC,AM Peak,31,104
Discretionary,WC,NON-NYC,NON-NYC,Other,30,104
Discretionary,WC,NON-NYC,STATEN ISLAND,AM Peak,31,104
Discretionary,WC,NON-NYC,STATEN ISLAND,Other,30,104
Discretionary,WC,NON-NYC,WHR,AM Peak,31,104
Discretionary,WC,NON-NYC,WHR,Other,30,104
Discretionary,WC,STATEN ISLAND,MANHATTAN,AM Peak,30,45
Discretionary,WC,STATEN ISLAND,MANHATTAN,Other,30,45
Discretionary,WC,STATEN ISLAND,NON-NYC,AM Peak,31,64
Discretionary,WC,STATEN ISLAND,NON-NYC,Other,30,64
Discretionary,WC,STATEN ISLAND,STATEN ISLAND,AM Peak,31,64
Discretionary,WC,STATEN ISLAND,STATEN ISLAND,Other,30,64
Discretionary,WC,STATEN ISLAND,WHR,AM Peak,31,64
Discretionary,WC,STATEN ISLAND,WHR,Other,30,64
Discretionary,WC,WHR,MANHATTAN,AM Peak,30,45
Discretionary,WC,WHR,MANHATTAN,Other,30,45
Discretionary,WC,WHR,NON-NYC,AM Peak,31,64
Discretionary,WC,WHR,NON-NYC,Other,30,64
Discretionary,WC,WHR,STATEN ISLAND,AM Peak,31,64
Discretionary,WC,WHR,STATEN ISLAND,Other,30,64
Discretionary,WC,WHR,WHR,AM Peak,31,64
Discretionary,WC,WHR,WHR,Other,30,64
Discretionary,WT,MANHATTAN,MANHATTAN,AM Peak,30,103
Discretionary,WT,MANHATTAN,MANHATTAN,Other,30,103
Discretionary,WT,MANHATTAN,NON-NYC,AM Peak,31,104
Discretionary,WT,MANHATTAN,NON-NYC,Other,30,104
Discretionary,WT,MANHATTAN,STATEN ISLAND,AM Peak,31,104
Discretionary,WT,MANHATTAN,STATEN ISLAND,Other,30,104
Discretionary,WT,MANHATTAN,WHR,AM Peak,31,104
Discretionary,WT,MANHATTAN,WHR,Other,30,104
Discretionary,WT,NON-NYC,MANHATTAN,AM Peak,30,103
Discretionary,WT,NON-NYC,MANHATTAN,Other,30,103
Discretionary,WT,NON-NYC,NON-NYC,AM Peak,31,104
Discretionary,WT,NON-NYC,NON-NYC,Other,30,104
Discretionary,WT,NON-NYC,STATEN ISLAND,AM Peak,31,104
Discretionary,WT,NON-NYC,STATEN ISLAND,Other,30,104
Discretionary,WT,NON-NYC,WHR,AM Peak,31,104
Discretionary,WT,NON-NYC,WHR,Other,30,104
Discretionary,WT,STATEN ISLAND,MANHATTAN,AM Peak,30,45
Discretionary,WT,STATEN ISLAND,MANHATTAN,Other,30,45
Discretionary,WT,STATEN ISLAND,NON-NYC,AM Peak,31,64
Discretionary,WT,STATEN ISLAND,NON-NYC,Other,30,64
Discretionary,WT,STATEN ISLAND,STATEN ISLAND,AM Peak,31,64
Discretionary,WT,STATEN ISLAND,STATEN ISLAND,Other,30,64
Discretionary,WT,STATEN ISLAND,WHR,AM Peak,31,64
Discretionary,WT,STATEN ISLAND,WHR,Other,30,64
